2023-03-07 18:07:39.575 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:07:48.557 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:07:48.929 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:07:49.249 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:08:51.532 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:08:57.610 [info] > git rev-parse --show-toplevel [3ms]
2023-03-07 18:09:02.646 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 18:09:07.730 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:09:09.518 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:11:31.346 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:11:42.547 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:11:53.027 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:11:57.166 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:13:31.669 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:13:36.430 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:14:40.916 [info] > git rev-parse --show-toplevel [3ms]
2023-03-07 18:14:48.897 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:15:04.368 [info] > git rev-parse --show-toplevel [3ms]
2023-03-07 18:15:05.288 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 18:15:05.740 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 18:15:42.844 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:15:43.100 [info] > git rev-parse --show-toplevel [3ms]
2023-03-07 18:15:45.410 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:19:36.261 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:19:36.929 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 18:19:37.683 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 18:20:07.049 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 18:22:52.063 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:23:08.330 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 18:23:09.069 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:23:10.196 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:23:11.275 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:27:31.345 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:27:32.068 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:27:32.388 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:27:34.132 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:28:03.975 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:28:42.026 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:30:10.301 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:30:10.600 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 18:30:46.678 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 18:30:48.087 [info] > git rev-parse --show-toplevel [2ms]
